character,id,favs,posts
momoi_(maid)_(blue_archive),7661073,77,172
fu_hua_(fenghuang_of_vicissitude),7109655,70,172
hero_(faraway)_(omori),5643840,10,171
prisma_illya,3216849,80,170
mordred_(fate/apocrypha),3436181,99,169
magical_mirai_miku_(2018),5035090,49,168
yura_kai_ni_(kancolle),3269577,53,168
hoshimachi_suisei_(shout_in_crisis),6025228,105,168
void_shiki,1813256,75,167
natsu_(band)_(blue_archive),7575120,44,167
makaino_ririmu_(5th_costume),5162007,45,166
cu_chulainn_(fate/stay_night),5649986,188,166
jingwei_(bird),7109655,70,165
young_link,5144739,42,165
cure_white,401212,47,165
jeanne_d'arc_(ruler)_(fate),6765349,93,165
fate_testarossa_(lightning_form),192477,40,163
hokko_tarumae_(star_light_ship)_(umamusume),6001391,34,162
yuegui_(genshin_impact),6015767,36,162
kureiji_ollie_(1st_costume),4228999,134,161
grass_wonder_(stone-piercing_blue)_(umamusume),4686931,45,160
sasaki_saku_(1st_costume),3332681,39,160
ouro_kronii_(casual),5956120,91,160
sakura_miko_(school_uniform),6753079,47,159
cure_wonderful,7929840,16,158
yuki_miku_(2019),3314368,34,158
lilith_(machikado_mazoku),3597524,41,158
yuzuki_yukari_(shizuku),8879125,38,158
tsunomaki_watame_(1st_costume),3727886,66,157
jintsuu_kai_ni_(kancolle),2277086,67,156
abukuma_kai_ni_(kancolle),2790725,67,156
higuchi_kaede_(1st_costume),3049944,66,155
hoshirube_sho_(1st_costume),6403657,9,155
sakura_miko_(1st_costume),5078743,40,155
akemi_homura_(black_dress),2710730,83,154
yukihana_lamy_(1st_costume),7835159,59,153
raising_heart_(accel_mode),670870,89,153
akitsu_maru_kai_(kancolle),2111468,70,152
tezcatlipoca_(first_ascension)_(fate),5931642,22,152
yuki_miku_(2014),2839070,55,151
mortis_(persona)_(bang_dream!),9236936,27,151
bottle_miku,5633965,47,151
kenmochi_touya_(1st_costume),6185966,29,151
shishiro_botan_(1st_costume),4112323,62,151
kagerou_kai_ni_(kancolle),3210774,30,150
shu_(spring_feast)_(arknights),8840078,41,149
ghost_miku_(project_voltage),6715335,67,149
racing_miku,3357653,62,147
airi_(band)_(blue_archive),8508439,74,147
sancho_(project_moon),8378487,44,146
shiratsuyu_kai_ni_(kancolle),3194085,42,146
ellen_joe_(on_campus),8866851,202,146
tamamo_cat_(second_ascension)_(fate),3631118,43,146
male_rover_(wuthering_waves),9350869,60,146
hatsushimo_kai_ni_(kancolle),2605388,35,145
pomu_rainpuff_(1st_costume),6449594,61,145
elira_pendora_(1st_costume),4584668,41,145
tenryuu_kai_ni_(kancolle),3191277,84,143
leonardo_da_vinci_(fate),5649986,188,143
ookami_mio_(street),4994599,106,143
hare_(camp)_(blue_archive),7021519,67,143
harukara_(7th_dragon),3374927,10,143
lily_black,4591244,41,143
yoshimi_(band)_(blue_archive),7532256,60,142
shirakami_fubuki_(parade_dress),4135599,53,142
toki_(school_uniform)_(blue_archive),6336861,112,142
kiso_kai_ni_(kancolle),2424206,58,142
ayanami_kai_ni_(kancolle),1864044,66,142
shiori_novella_(casual),8800711,53,142
xu_fu_(first_ascension)_(fate),4072589,48,141
mega_dragonite,9673775,13,141
gohan_beast,5440788,32,140
hoshino_(armed)_(blue_archive),7730411,96,140
dokibird_(retro_doki),7228292,68,140
yuuka_(track)_(blue_archive),6668030,69,139
nakiri_ayame_(streetwear),4857629,99,139
nekomata_okayu_(school_uniform),4637677,88,138
cure_milky,3418971,22,138
asuna_(school_uniform)_(blue_archive),7000856,132,138
takamachi_nanoha_(movie_1st_mode),598790,100,138
lize_helesta_(4th_costume),3956684,66,138
antonio_salieri_(second_ascension)_(fate),3149489,44,138
kirisame_marisa_(pc-98),7172425,37,137
kaito_(vocaloid3),6277460,10,137
manhattan_cafe_(verdant_night)_(umamusume),7185542,22,136
yuki_miku_(2018),3993951,75,136
michishio_kai_ni_(kancolle),2916974,34,136
hatsune_miku_(saihate),779748,51,136
todoroki_hajime_(1st_costume),7394211,77,136
akatsuki_kai_ni_(kancolle),2139205,80,136
lycanroc,2483046,20,134
akai_haato_(1st_costume),3336725,99,134
mademoiselle_crabaletta,7495959,79,133
zhongli_(archon)_(genshin_impact),5720599,46,133
smol_ame,4254305,85,132
zuikaku_kai_ni_(kancolle),3028859,56,132
gentilhomme_usher,6913098,103,132
seiun_sky_(reeling_in_the_big_one)_(umamusume),6406931,26,131
wanderer_(mega_mgc_coffee)_(genshin_impact),8436637,12,131
takanashi_kiara_(1st_costume),6995685,104,131
magical_ruby,3216849,80,131
ceres_fauna_(1st_costume),8659487,102,130
tan_yang_(kancolle),4684225,36,130
