tag,count
vodka,827
eggshell,821
bell_pepper,816
billiard_ball,806
heart_straw,805
chocolate_chip_cookie,802
usb,801
carnation,799
greek_cross,798
stop_sign,796
waffle,794
rooster,794
nemophila_(flower),778
iris_(flower),777
submarine,777
drain_(object),777
hanafuda,772
cat's_cradle,771
egg_yolk,771
shopping_basket,763
soba,759
pool_table,759
swan,754
mint,751
spoken_x,750
tit_(bird),747
rhythmic_gymnastics,742
aburaage,740
kobeya_uniform,739
melon_soda,739
rowboat,739
mousepad_(object),739
satellite_dish,737
shout_lines,737
smelling_flower,736
pansy,735
nuzzle,735
cream_puff,731
pov_peephole,730
multiple_monitors,727
bakery,726
spork,726
lavender_(flower),718
nori_(seaweed),718
plus_sign,717
yatai,714
hockey_mask,713
pomegranate,712
orchid,712
lobster,706
pon_de_ring,706
phone_booth,700
tanghulu,699
full_mouth,697
shish_kebab,695
turkey_(food),694
pastry_box,694
nigirizushi,692
flower_bed,689
tako-san_wiener,689
tabby_cat,684
sakura_empire_(emblem),675
tavern,673
payphone,672
no_symbol,672
yen_sign,669
fire_extinguisher,668
milkshake,666
gelatin,665
catfight,660
anna_miller,659
comedic_sweatdrop,659
sailboat,659
coffee_beans,659
longcat_(meme),658
liquor,656
daffodil,655
shot_glass,650
shaped_lollipop,649
lunchbox,643
tupet,643
mayonnaise,639
food_between_breasts,633
pliers,633
hamburger_steak,631
pravda_(emblem),631
clow_card,629
forget-me-not_(flower),629
salt_shaker,625
cannibalism,625
market,622
eurasian_tree_sparrow,619
cheesecake,614
zouni_soup,612
sharp_sign,611
wooden_door,611
engine,608
poker,607
oden,605
supermarket,605
strawberry_parfait,604
rice_cooker,601
gerbera,597
iron_blood_(emblem),596
chocolate_cornet,595
male-female_symbol,594
canned_food,586
cupping_glass,578
sakura_mochi,578
miso_soup,573
marble_(toy),572
vintage_microphone,572
goose,572
corn_dog,569
table_tennis,567
pyramid_(geometry),567
uno_(game),564
credit_card,561
space_cat_(meme),561
matches,555
plate_stack,554
star_of_life,551
silent_princess,550
falcon,544
studio_microphone,542
flamingo,541
playing_card_theme,541
osmanthus,540
clover_(flower),537
black_tea,537
eagle_union_(emblem),536
chestnut,535
electrodes,534
konpeitou,534
baby's-breath,534
pea_pod,532
banana_boat,530
no_entry_sign,530
ikura_(food),527
baking_sheet,526
satellite,523
dr_pepper,522
jelly_bean,521
apple_pie,521
dog_paws,520
sashimi,519
bible_(object),516
ribbon_baton,515
lemonade,515
shinkon_santaku,514
spoken_star,513
kuromorimine_(emblem),513
cocktail_umbrella,512
epiphyllum,511
chupa_chups,510
go_(board_game),507
mini_flag,507
pretzel,506
loaf_of_bread,505
thumbprint_cookie,503
cream_on_body,500
bomber,499
hardboiled_egg,498
tea_party,494
armpit_carry,492
angel_mort,491
mustard,491
peacock,490
robot_dragon,490
nabe,489
swallow_(bird),488
flying_saucer,485
yellow_bird,482
long-tailed_tit,481
fruit_tart,478
breakfast,476
dishes,473
poinsettia,473
ostrich,473
swimsuit_hanger,471
gauge,470
reichsadler,469
space_station,467
stellated_octahedron,465
rectangle,464
violet_(flower),461
latte_art,458
shiitake,458
carrot_slice,457
billiards,457
blueprint_(object),455
sumo,454
barista,454
taxi,453
salt,453
seven-segment_display,453
small_stellated_dodecahedron,450
death_note_(object),449
block_(object),449
croquette,448
nut_(food),448
cerberus,446
penguin_logistics_logo,446
bread_bun,441
octagram,435
cracker,434
on_flower,433
recycling_symbol,433
raw_meat,432
maid_cafe,427
mont_blanc_(food),425
dobermann,425
compound_bow,425
husky,424
circuit_board,423
coat_of_arms,423
emperor_penguin,420
japanese_tankery_league_(emblem),418
strawberry_blossoms,417
flat_sign,416
yakitori,415
stereo,414
birthday_party,414
instant_udon,412
green_apple,409
softboiled_egg,409
chikuwa,408
mooncake,408
streetcar,407
vent_(object),405
clockwork,405
taco,405
food_as_clothes,404
meatball,402
banana_slice,402
rolling_pin,402
izakaya,402
osechi,399
waffle_cone,398
pepperoni,397
against_door,397
piston,397
cat-shaped_pillow,397
instant_soba,396
wafer,394
turnip,393
glaze_lily,392
siamese_cat,391
bowling_ball,390
bitten_apple,389
chicken_nuggets,389
yakiniku,389
fruit_bowl,387
anzio_(emblem),387
celtic_cross,386
blue_hawaii,386
garlic,386
badminton_racket,385
dahlia,384
saunders_(emblem),384
magnolia,383
doritos,382
no_smoking,381
calla_lily,380
ouroboros,379
sesame_seeds,379
soy_sauce_bottle,378
royal_navy_emblem_(azur_lane),377
flour,376
green_bell_pepper,374
bluebird,373
fire_on_chest,373
sanada_clan_(emblem),369
shichirin,368
chinese_lantern_(plant),364
lunar_tear,364
chocolate_donut,364
card_in_mouth,363
cordless_phone,363
nattou,361
pomeranian_(dog),361
churro,360
hurricane_glass,356
diner,356
ham,353
yuzu_(fruit),353
mimosa_(flower),352
peanut,351
strawberry_milk,351
date_pun,349
toucan,349
french_cruller,348
black_fire,348
golf,347
selection_university_(emblem),346
spring_(object),345
golden_retriever,344
olive,344
totenkopf,343
black_panther,342
burning_building,342
scone,342
rapeseed_blossoms,342
okonomiyaki,342
mapo_tofu,340
oreo,339
keizoku_(emblem),336
daifuku,335
butter_knife,335
margherita_pizza,334
purple_cat,329
clematis_(flower),328
souffle_pancake,328
white_chocolate,327
pineapple_slice,327
interlocked_mars_and_venus_symbols,326
cat_stretch,325
conveyor_belt,325
bagua,323
nut_(hardware),323
flipping_food,321
pink_cat,321
lifeguard_chair,319
quarter_rest,317
roe,317
wi-fi_symbol,317
pickle,316
fire_flower,313
marigold,313
pentagon_(shape),313
catfish,312
pepper_shaker,312
parakeet,310
computer_chip,310
batter,309
toaster,308
biohazard_symbol,307
inverted_pentagram,306
apple_rabbit,305
dorayaki,304
leopard,302
katsu_(food),301
cockatiel,300
fire_hydrant,300
transforming_clothes,299
wasabi,299
eighth_rest,296
gyuudon,293
snow_leopard,293
rocket_ship,292
pork,291
freesia_(flower),290
rejected_kiss,289
anpan,287
balkenkreuz,286
adjustable_wrench,286
chopped_spring_onion,286
gift_card,286
cake_stand,285
jupiter_symbol,282
mango,282
german_shepherd,282
squeeze_bottle,282
dinner,281
dough,281
good_fortune_symbol,281
yakisobapan,280
yogurt,280
semi_truck,279
honeypot,278
finch,278
cantaloupe,276
layer_cake,276
trailer,275
mobile_armor,275
serving_dome,274
omega_symbol,271
security_shutter,271
tic-tac-toe,271
blender_(object),271
iced_tea,270
fanta,270
automail,269
red-crowned_crane,269
yaoi_(object),269
mercury_symbol,267
american_football,266
serval,266
cat_ornament,264
american_football_(object),264
juggling_club,259
yellow_cat,259
meal,258
projector,258
milk_churn,258
pug,258
zippo_lighter,256
riot_shield,255
valve,255
sugar_bowl,254
cereal,253
cat_earrings,252
creature_as_food,251
apple_core,250
food_truck,250
restroom_symbol,250
hanging_food,248
radio_tower,248
kashiwa_mochi_(food),246
blackberry_(fruit),245
coffee_grinder,245
marriage_certificate_(object),245
chopstick_rest,244
jet_engine,244
umeboshi,244
amos'_bow_(genshin_impact),244
bagel,242
macaw,240
broken_egg,240
gunkanmaki,239
gentiana_(flower),238
cat_slippers,237
straw_hats_jolly_roger,237
umaibou,237
mechanical,236
swiss_cheese,234
martini,233
katsudon_(food),233
konnyaku_(food),233
cinnamon_stick,233
zongzi,232
chihuahua,231
hose_nozzle,231
crown_(symbol),231
star_of_lakshmi,230
military_jeep,229
onsen_symbol,228
chamomile,227
youkan_(food),226
red_bean_paste,226
pump,226
arrow_cross,225
christmas_cake,225
fare_gate,224
cafeteria,224
palutena_bow_(kid_icarus),224
closing_door,222
humboldt_penguin,222
shoebill,221
no_parking_sign,218
bread_eating_race,217
instant_ramen,216
too_many_scoops,215
bongo_cat_(meme),215
hot_sauce,214
molotov_cocktail,214
furnace,213
doorbell,213
cat_paw,213
holographic_touchscreen,213
blue_cat,213
kitsune_udon,212
cathead,211
chinese_spoon,211
azalea_(flower),210
avocado,208
mayonnaise_bottle,207
peach_blossom,207
cinnamon_roll,206
gladiolus,205
sandwich_cookie,204
the_lovers_(tarot),203
segment_display,203
jirou_(ramen),203
dog_on_head,202
griddle,202
japanese_white-eye,201
pizza_delivery,200
x-ray_film,200
eclair_(food),200
golf_ball,199
youkai_watch_(object),199
moorish_idol,199
the_fool_(tarot),198
space_shuttle,198
kitchen_hood,197
inarizushi,195
takuan,195
ventilation_shaft,194
bougainvillea_(flower),194
measuring_cup,194
border_collie,192
ranunculus,192
pepper_(spice),192
uchiha_symbol,191
yakult,190
cat_on_person,190
cat_feet,190
slugcat,190
heart-shaped_cake,189
kinoko_no_yama,189
takenoko_no_sato,189
cat_loaf,189
dim_sum,188
coal,188
lotus_root,188
field_radio,187
kiwi_(bird),186
cat_tower,186
shortcake,186
bowling_pin,185
whole_note,185
dotted_quarter_note,184
karuta_(card_game),184
honey_dipper,184
star_and_crescent,183
acrylic_stand_(object),183
coat_rack,183
zener_card,182
milk_tea,182
ice_flower,182
trumpet_creeper,181
takeout_container,181
jaguar,181
tryzub,181
flare,180
saturn_symbol,179
on_banana,179
matchbox,178
